OBJETID;COD_NDP;DECRETO_LU;DISTRITO;DIRECCION;PLANTA;UNIDADES_VUT;EXPEDIENTE_LU;TIPO;RESOLUCION_LU
437;11037385;Conceder;Distrito de Tetuan;CALLE ALONSO NUÑEZ 10;BAJA;1;350/2023/34610;VIVIENDAS DE USO TURÍSTICO;27/11/2023
438;11084045;Conceder;Distrito de Usera;CALLE ANTONIO LOPEZ 150;PRIMERA;1;350/2023/34897;VIVIENDAS DE USO TURÍSTICO;20/02/2024
439;11062520;Conceder;Distrito de Latina;CALLE FRANCISCO DE TEJADA 1;BAJA;1;350/2023/34940;VIVIENDAS DE USO TURÍSTICO;29/02/2024
440;11142291;Conceder;Distrito de Hortaleza;AVENIDA SAN LUIS 27;BAJA;1;350/2023/35323;VIVIENDAS DE USO TURÍSTICO;09/04/2024
441;11013643;Conceder;Distrito de Retiro;CALLE JUAN ESPLANDIU 7;BAJA;2;350/2023/35676;VIVIENDAS DE USO TURÍSTICO;18/01/2024
442;11030587;Conceder;Distrito de Tetuan;CALLE ORENSE 63;BAJA;2;350/2023/35971;VIVIENDAS DE USO TURÍSTICO;10/01/2024
443;11012497;Conceder;Distrito de Retiro;AVENIDA MENENDEZ PELAYO 43;BAJA;1;350/2023/36051;VIVIENDAS DE USO TURÍSTICO;11/01/2024
444;11008066;Conceder;Distrito de Arganzuela;CALLE LINNEO 23;BAJA;1;350/2023/36166;VIVIENDAS DE USO TURÍSTICO;10/01/2024
445;11013569;Conceder;Distrito de Retiro;CALLE PIO BAROJA 2;BAJA;1;350/2023/36186;VIVIENDAS DE USO TURÍSTICO;28/12/2023
446;11013569;Conceder;Distrito de Retiro;CALLE PIO BAROJA 2;BAJA;1;350/2023/36293;VIVIENDAS DE USO TURÍSTICO;15/12/2023
447;11099832;Conceder;Distrito de Puente de Vallecas;CALLE PICO MONCAYO 5;BAJA, PRIMERA Y SEGUNDA;3;350/2023/36784;VIVIENDAS DE USO TURÍSTICO;23/01/2024
448;11008794;Conceder;Distrito de Arganzuela;CALLE AGUILON 5;BAJA;1;350/2023/36888;VIVIENDAS DE USO TURÍSTICO;06/03/2024
449;11001008;Conceder;Distrito de Centro;PLAZA MORERIA 2;BAJA;2;350/2023/36975;VIVIENDAS DE USO TURÍSTICO;20/03/2024
450;11085207;Conceder;Distrito de Usera;CALLE CEREZA 1;BAJA;1;350/2023/36983;VIVIENDAS DE USO TURÍSTICO;31/05/2024
451;11106798;Conceder;Distrito de Ciudad Lineal;CALLE EZEQUIEL SOLANA 120;BAJA;1;350/2023/36997;VIVIENDAS DE USO TURÍSTICO;10/01/2024
452;11101383;Conceder;Distrito de Moratalaz;CALLE JOSE BERGAMIN 12;BAJA;1;350/2023/37349;VIVIENDAS DE USO TURÍSTICO;22/12/2023
453;11142291;Conceder;Distrito de Hortaleza;AVENIDA SAN LUIS 27;BAJA;1;350/2023/37456;VIVIENDAS DE USO TURÍSTICO;05/02/2024
454;20008646;Conceder;Distrito de Salamanca;CALLE ALCALA 202;PRIMERA;1;350/2023/37716;VIVIENDAS DE USO TURÍSTICO;14/02/2024
455;20148651;Conceder;Distrito de Fuencarral-El Pardo;CALLE FERMIN CABALLERO 62;BAJA;1;350/2023/37783;VIVIENDAS DE USO TURÍSTICO;11/06/2024
456;11023787;Conceder;Distrito de Chamartín;CALLE SATURNINO CALLEJA 3 A;BAJA;1;350/2023/38169;VIVIENDAS DE USO TURÍSTICO;29/02/2024
457;11002890;Conceder;Distrito de Centro;CALLE SALITRE 8;BAJA;1;350/2023/38494;VIVIENDAS DE USO TURÍSTICO;14/06/2024
458;11063575;Conceder;Distrito de Latina;CALLE ALVERJA 5;BAJA;1;350/2023/38760;VIVIENDAS DE USO TURÍSTICO;08/03/2024
459;11001534;Conceder;Distrito de Centro;CALLE COLEGIATA 6;BAJA Y ENTREPLANTA;3;350/2023/38983;VIVIENDAS DE USO TURÍSTICO;29/02/2024
460;11072762;Conceder;Distrito de Carabanchel;CALLE COMANDANTE FONTANES 51;BAJA;1;350/2023/38996;VIVIENDAS DE USO TURÍSTICO;09/08/2024
461;11006007;Conceder;Distrito de Centro;CALLE SAN VICENTE FERRER 43;BAJA;1;350/2024/00030;VIVIENDAS DE USO TURÍSTICO;08/03/2024
462;11034088;Conceder;Distrito de Tetuan;CALLE PLATANO 7;BAJA;1;350/2024/00277;VIVIENDAS DE USO TURÍSTICO;14/02/2024
463;11052807;Conceder;Distrito de Moncloa-Aravaca;CALLE FERRAZ 86;BAJA;1;350/2024/00803;VIVIENDAS DE USO TURÍSTICO;11/06/2024
464;11005698;Conceder;Distrito de Centro;CALLE BARCO 29;BAJA;1;350/2024/00963;VIVIENDAS DE USO TURÍSTICO;11/03/2024
465;20004858;Conceder;Distrito de Centro;CALLE SALITRE 23;BAJA;1;350/2024/01002;VIVIENDAS DE USO TURÍSTICO;14/02/2024
466;11101705;Conceder;Distrito de Moratalaz;CALLE ARROYO BELINCOSO 40;BAJA;1;350/2024/01016;VIVIENDAS DE USO TURÍSTICO;05/02/2024
467;11018572;Conceder;Distrito de Salamanca;CALLE PILAR DE ZARAGOZA 61;BAJA;1;350/2024/01042;VIVIENDAS DE USO TURÍSTICO;11/04/2024
468;11001761;Conceder;Distrito de Centro;CALLE DOS HERMANAS 11;BAJA;1;350/2024/01371;VIVIENDAS DE USO TURÍSTICO;22/04/2024
469;20134509;Conceder;Distrito de Tetuan;CALLE DOCTOR MARIANI 10;BAJA;1;350/2024/01642;VIVIENDAS DE USO TURÍSTICO;14/02/2024
470;11001823;Conceder;Distrito de Centro;CALLE FRAY CEFERINO GONZALEZ 10;BAJA;2;350/2024/02095;VIVIENDAS DE USO TURÍSTICO;11/03/2024
471;11069394;Conceder;Distrito de Carabanchel;CALLE ANTONIO VICENT 22;BAJA;1;350/2024/02133;VIVIENDAS DE USO TURÍSTICO;08/03/2024
472;11010205;Conceder;Distrito de Arganzuela;CALLE JOSE ANTONIO DE ARMONA 4;BAJA;1;350/2024/02161;VIVIENDAS DE USO TURÍSTICO;14/02/2024
473;11006031;Conceder;Distrito de Centro;CALLE ESPIRITU SANTO 33;BAJA;1;350/2024/02321;VIVIENDAS DE USO TURÍSTICO;08/04/2024
474;11025442;Conceder;Distrito de Chamartín;CALLE RAMON DE SANTILLAN 14;BAJA;4;350/2024/02410;VIVIENDAS DE USO TURÍSTICO;08/03/2024
475;11016394;Conceder;Distrito de Salamanca;CALLE DOCTOR ESQUERDO 35;PRIMERA;1;350/2024/02754;VIVIENDAS DE USO TURÍSTICO;20/02/2024
476;11033887;Conceder;Distrito de Tetuan;CALLE MULLER 48;BAJA;1;350/2024/02988;VIVIENDAS DE USO TURÍSTICO;11/03/2024
477;11010347;Conceder;Distrito de Arganzuela;CALLE DELICIAS 23;BAJA;1;350/2024/03729;VIVIENDAS DE USO TURÍSTICO;20/03/2024
478;31016329;Conceder;Distrito de Arganzuela;CALLE JOSE ANTONIO ZAPATA 10;BAJA;1;350/2024/03852;VIVIENDAS DE USO TURÍSTICO;29/02/2024
479;11006453;Conceder;Distrito de Centro;CALLE SANTA CRUZ DE MARCENADO 8;BAJA;1;350/2024/03892;VIVIENDAS DE USO TURÍSTICO;04/03/2024
480;31016329;Conceder;Distrito de Arganzuela;CALLE JOSE ANTONIO ZAPATA 10;BAJA;1;350/2024/04016;VIVIENDAS DE USO TURÍSTICO;05/03/2024
481;31016329;Conceder;Distrito de Arganzuela;CALLE JOSE ANTONIO ZAPATA 10;BAJA;1;350/2024/04075;VIVIENDAS DE USO TURÍSTICO;14/03/2024
482;11102125;Conceder;Distrito de Moratalaz;CALLE ARROYO FONTARRON 45;BAJA;1;350/2024/04192;VIVIENDAS DE USO TURÍSTICO;22/04/2024
483;11104422;Conceder;Distrito de Ciudad Lineal;CALLE IGNACIO ELLACURIA 12;BAJA;1;350/2024/04259;VIVIENDAS DE USO TURÍSTICO;08/03/2024
484;31016329;Conceder;Distrito de Arganzuela;CALLE JOSE ANTONIO ZAPATA 10;BAJA;1;350/2024/04549;VIVIENDAS DE USO TURÍSTICO;02/04/2024
485;31016329;Conceder;Distrito de Arganzuela;CALLE JOSE ANTONIO ZAPATA 10;BAJA;1;350/2024/04579;VIVIENDAS DE USO TURÍSTICO;11/03/2024
486;11001369;Conceder;Distrito de Centro;CALLE BASTERO 7;BAJA;1;350/2024/04590;VIVIENDAS DE USO TURÍSTICO;14/03/2024
487;11030789;Conceder;Distrito de Tetuan;CALLE BUSTARVIEJO 3;BAJA;1;350/2024/05227;VIVIENDAS DE USO TURÍSTICO;26/06/2024
488;11029741;Conceder;Distrito de Tetuan;CALLE AVILA 26;BAJA;1;350/2024/05228;VIVIENDAS DE USO TURÍSTICO;20/03/2024
489;11001728;Conceder;Distrito de Centro;CALLE JUANELO 16;BAJA;1;350/2024/05925;VIVIENDAS DE USO TURÍSTICO;20/03/2024
490;11000434;Conceder;Distrito de Centro;CALLE MESON DE PAÑOS 4;BAJA;1;350/2024/06155;VIVIENDAS DE USO TURÍSTICO;29/04/2024
491;11005781;Conceder;Distrito de Centro;CALLE EL ESCORIAL 10;BAJA;1;350/2024/06364;VIVIENDAS DE USO TURÍSTICO;11/04/2024
492;11007229;Conceder;Distrito de Centro;CALLE JACOMETREZO 15;PRIMERA;1;350/2024/06585;VIVIENDAS DE USO TURÍSTICO;11/04/2024
493;11040647;Conceder;Distrito de Chamberí;CALLE MANUEL CORTINA 3;BAJA;1;350/2024/06980;VIVIENDAS DE USO TURÍSTICO;17/04/2024
